Key,Value
LogonModel_PasswordRequired,senha não pode estar vazio
LogonModel_UsernameRequired,Usuário não pode estar vazio
Membership_Banned,conta foi fechada com o utilização de
Message,enviar
Message_NotDelivered,mensagem não pôde ser entregue
Password_CharacterLong,senha deve ter pelo menos 4 caracteres
Password_Match,senha e senha de confirmação diferentes uns dos outros
Post,enviar
Register_EMail,Endereço de e-mail
Register_FullName,nome e sobrenome
Register_Password,senha
Register_PasswordConfirm,confirmação de senha
Register_Submit,inscrever-se
Register_Title,inscrever-se
Register_Username,nome de usuário
RegisterModel_EmailRequired,endereço de e-mail é obrigatório
RegisterModel_FullNameRequired,nome é necessário
RegisterModel_PasswordConfirmRequired,confirmação de senha é necessária
RegisterModel_PasswordMismatch,senha e senha de confirmação diferentes uns dos outros
RegisterModel_PasswordRequired,É necessária uma senha
RegisterModel_PasswordStringLength,senha pode ter até 20 caracteres de comprimento
RegisterModel_UsernameInvalid,nome de usuário inválido
RegisterModel_UsernameRequired,apelido é necessária
Reports_AlreadyReported,Envie uma denúncia de que já tenha sido anteriormente
ResetPassword_Failed,Este endereço de e-mail não é registrado
ResetPassword_ForgetPassword,Esqueci minha senha
ResetPassword_Send,enviar
ResetPassword_Succeeded,Informações para redefinir sua senha foram enviadas para seu endereço de e-mail
ResetPassword_YourEmail,Endereço de e-mail
ResetPasswordModel_InvalidEmailAdress,Endereço de e-mail inválido
Share,ação
Spam_AlreadySpammed,Esta pessoa foi previamente relatado como spam
Spam_Self,Você não pode declarar-se como spam
Spam_Spam,Spam
TextPostModel_Long,mensagens não podem ter mais do que mais ... caráter
TextPostModel_TextRequired,Enviar um texto não pode ser vazio
User_About,sobre
User_Followers,seguidor
User_Followings,seguimento
User_WorldHistory,a história do mundo
User_InviteFriends,Convide seus amigos
User_NotExists,usuário Não é definida
User_Photos,foto
User_SetProfile,editar perfil
User_Settings,conjuntos
User_ShowAll,Mostrar todos
User_Favorites,favoritos
VerifiedAccount_ApplicationReceived,"Recebemos o seu pedido, por favor verifique a sua caixa de correio electrónico"
World_CannotBeShared,este post não pode ser compartilhada
Block_Block,bloco
Block_Unblock,remova o bloco
Settings_Language,língua
Settings_Country,país
Settings_City,cidade
Gift_Received,Envie ao mundo
Credit_Sent,Você enviou o mundo
Credit_Spent,Você já usou o mundo
Camera_FromAlbum,Escolha a partir de álbum
Camera_TakePhoto,tirar uma foto
Common_Search,intermediário
Common_Delete,excluir
User_SendMessage,Envie uma mensagem
Settings_BlockedList,bloquearam
Common_Save,salvar
User_ProfilePhoto,foto do perfil
User_HeaderPhoto,cabeçalho foto
User_FullName,nome e sobrenome
User_FollowRequests,pedidos seguidor
Register_AcceptTerms,Eu aceito os termos de serviço
Settings_ProfileOpen,aberto
Settings_ProfilePrivate,escondido
Settings_Profile,perfil
Common_Day,dia
Common_Hour,hora
Common_Minutes,minuto
Common_Seconds,segundo
Common_Show,ensinar
Common_Logout,saída
Description_Commented,anotada
Common_Month,mês
Common_Day,dia
Common_Year,ano
Common_All,tudo
Common_Report,queixam
VerifiedAccountForm_Title,verificado formulário conta
Common_Help,ajudar
