Key,Value
LogonModel_PasswordRequired,hindi maaaring blanko ang password
LogonModel_UsernameRequired,hindi maaaring blanko ang username
Membership_Banned,na-ban na ang account na ito
Message,ipadala
Message_NotDelivered,hindi naipadala ang mensahe
Password_CharacterLong,kinakailangan may kahit na 4 na character ang password
Password_Match,magkaiba ang password at password confirmation 
Post,ipadala
Register_EMail,e-mail address
Register_FullName,pangalan at apelyido
Register_Password,password
Register_PasswordConfirm,password confirmation
Register_Submit,sign up
Register_Title,sign up
Register_Username,username 
RegisterModel_EmailRequired,kinakailangan ang e-mail address
RegisterModel_FullNameRequired,kinakailangan ang name
RegisterModel_PasswordConfirmRequired,kinakailangan ang password confirmation
RegisterModel_PasswordMismatch,magkaiba ang password at password confirmation 
RegisterModel_PasswordRequired,kinakailangan ang password 
RegisterModel_PasswordStringLength,maaaring hanggang 20 character ang password
RegisterModel_UsernameInvalid,walang bisang username
RegisterModel_UsernameRequired,kinakailangan ang username
Reports_AlreadyReported,naibalita na ang publikasyong ito
ResetPassword_Failed,hindi pa nairehistro ang e-mail address na ito
ResetPassword_ForgetPassword,nakalimutan ko ang aking password
ResetPassword_Send,ipadala
ResetPassword_Succeeded,ipinadala sa iyong e-mail address ang impormasyong kinakailangan para sa pag-reset ng iyong password
ResetPassword_YourEmail,iyong e-mail address
ResetPasswordModel_InvalidEmailAdress,walang bisang e-mail address
Share,ibahagi
Spam_AlreadySpammed,naibalita na na ang taong ito ay spam
Spam_Self,hindi maaaring ibalita na spam ang iyong sarili
Spam_Spam,spam
TextPostModel_Long,hindi maaaring higit sa … character ang publikasyon
TextPostModel_TextRequired,hindi maaaring i-post ng blanko ang sinulat
User_About,tungkol sa
User_Followers,mga sumusunod
User_Followings,mga sinusunod
User_WorldHistory,kasaysayan ng mundo
User_InviteFriends,imbitahin ang iyong mga kaibigan
User_NotExists,hindi umiiral ang user na ito
User_Photos,litrato
User_SetProfile,itaga ang iyong profile
User_Settings,mga setting
User_ShowAll,ipakita lahat
User_Favorites,mga paborito
VerifiedAccount_ApplicationReceived,"natanggap namin ang iyong application, mangyaring i-check ang iyong e-mail box"
World_CannotBeShared,hindi maaaring ibahagi ang publikasyong ito
Block_Block,ibara
Block_Unblock,tanggalin ang bara
Settings_Language,wika
Settings_Country,bansa
Settings_City,lungsod
Gift_Received,nagpadala ng mundo
Credit_Sent,ikaw ay nagpadala ng mundo
Credit_Spent,ikaw ay gumamit ng mundo
Camera_FromAlbum,pumili mula sa album
Camera_TakePhoto,kumuha ng litrato
Common_Search,hanapin
Common_Delete,tanggalin
User_SendMessage,nagpapadala ng mensahe
Settings_BlockedList,listahan ng mga ibinara
Common_Save,i-save
User_ProfilePhoto,litrato ng profile
User_HeaderPhoto,pangunahing litrato
User_FullName,pangalan at apelyido
User_FollowRequests,mga hinihiling ng mga sumusunod
Register_AcceptTerms,tinatanggap ko ang mga alituntunin sa paggamit
Settings_ProfileOpen,buksan
Settings_ProfilePrivate,nakatago
Settings_Profile,profile
Common_Day,araw
Common_Hour,oras
Common_Minutes,minuto
Common_Seconds,segundo
Common_Show,ipakita
Common_Logout,lumpas
Description_Commented,sabi niya
Common_Month,buwan
Common_Day,araw
Common_Year,taon
Common_All,lahat
Common_Report,reklamo
VerifiedAccountForm_Title,aprubadong aplikasyon ng account
Common_Help,tulong
