Key,Value
User_FullName,nombre y apellido
User_FollowRequests,pedimentos de seguidores
Register_AcceptTerms,Yo acepto las condiciones de servicio
Settings_ProfileOpen,abierto
Settings_ProfilePrivate,secreto
Settings_Profile,perfil
Common_Day,día
Common_Hour,hora
Common_Minutes,minuto
Common_Seconds,segundo
Common_Show,enseñar
Common_Logout,salida
Description_Commented,comentado
Common_Month,mes
Common_Day,día
Common_Year,año
Common_All,todo
Common_Report,quejarse
VerifiedAccountForm_Title,formulario de cuenta verificada
Common_Help,ayudar
